Var,<0.0%,<0.5%,<1.0%,<1.5%,<2.0%,2.0%>,2.5%>,3.0%>,3.5%>,4.0%>
Conference Board Consumer Confidence SA 1985=100,-0.00161,-0.0096,-0.0246,-0.03949,-0.04552,0.04709,0.04095,0.0262,0.01172,0.00452
,0.52894,0.11884,0.05519,0.03369,0.0232,0.02267,0.02636,0.03697,0.05253,0.0797
Federal Funds Target Rate - Upper Bound,-0.00813,-0.05979,-0.15978,-0.23489,-0.21795,0.22593,0.14121,0.05375,0.001,-0.00977
,0.98772,0.96237,0.95174,0.95104,0.95787,0.95762,0.97031,0.98341,0.99936,0.98531
GDP US Chained 2012 Dollars QoQ SAAR,-0.02338,-0.02368,-0.00543,0.0141,0.01608,-0.02111,-0.01032,-0.00094,0.00167,-0.00114
,0.77902,0.90568,0.9896,0.98135,0.98028,0.97488,0.98623,0.99815,0.99322,0.9891
ISM Manufacturing PMI SA,-0.00426,-0.0137,-0.03514,-0.06449,-0.089,0.0931,0.09308,0.06297,0.02628,0.00758
,0.56961,0.44565,0.34767,0.23431,0.12809,0.12243,0.08363,0.08582,0.13621,0.31388
US CPI Urban Consumers MoM SA,-0.14928,-0.44113,-1.06744,-1.94585,-2.73389,2.83884,2.92484,2.09041,1.00102,0.38602
,0.20105,0.11538,0.06751,0.02151,0.00277,0.00257,0.00051,0.00027,0.00028,0.00103
US Durable Goods New Orders Industries MoM SA,-0.00272,-0.00729,-0.0157,-0.02593,-0.0336,0.03455,0.03393,0.02383,0.01144,0.00428
,0.68797,0.65423,0.64341,0.59764,0.52593,0.52683,0.4862,0.4729,0.4739,0.53027
US Employees on Nonfarm Payrolls Total MoM Net Change SA,-1e-05,-8e-05,-0.00022,-0.00031,-0.00024,0.00024,0.0001,2e-05,1e-05,0
,0.56258,0.0107,0.00051,0.00082,0.01638,0.02093,0.28262,0.73462,0.83578,0.78102
US Initial Jobless Claims SA,-0.00037,-0.00082,-0.00136,-0.0015,-0.00099,0.00093,0.00025,-3e-05,-2e-05,1e-05
,0,0,0,0,0.00061,0.00169,0.33895,0.84686,0.85593,0.79772
University of Michigan Consumer Sentiment Index,-0.02219,-0.09114,-0.20974,-0.2757,-0.21331,0.21059,0.09476,0.0298,0.01543,0.01063
,0.08581,0.00332,0.00119,0.00326,0.03454,0.04285,0.3068,0.63702,0.61166,0.41248
R^2,0.10793,0.11022,0.0898,0.06804,0.04304,0.04043,0.02661,0.02428,0.02262,0.01825
RMSE,0.13195,0.31657,0.65951,0.9556,1.03042,1.06187,0.94768,0.64562,0.31072,0.13256
nObs,875,875,875,875,875,875,875,875,875,875
