Var,<0.0%,<0.5%,<1.0%,<1.5%,<2.0%,2.0%>,2.5%>,3.0%>,3.5%>,4.0%>
Conference Board Consumer Confidence SA 1985=100,0.00124,-0.00303,-0.01415,-0.02659,-0.03294,0.03407,0.03133,0.02175,0.01138,0.00525
,0.17168,0.37752,0.1608,0.10852,0.09356,0.09654,0.11066,0.11161,0.07939,0.05813
Federal Funds Target Rate - Upper Bound,-0.00414,0.01439,0.05981,0.10634,0.12422,-0.12779,-0.11388,-0.08298,-0.05129,-0.02944
,0.98232,0.98379,0.97704,0.97513,0.9755,0.97584,0.97753,0.97648,0.96936,0.9588
GDP US Chained 2012 Dollars QoQ SAAR,0.0135,0.01117,-0.00826,-0.03288,-0.04225,0.04979,0.02828,-0.01795,-0.05319,-0.04958
,0.64721,0.92035,0.97989,0.95126,0.94718,0.94036,0.96462,0.96774,0.80058,0.5811
ISM Manufacturing PMI SA,-0.00226,-0.00692,-0.01961,-0.04211,-0.06734,0.071,0.07818,0.05688,0.02657,0.01001
,0.39394,0.49045,0.50537,0.38382,0.24012,0.23526,0.17255,0.1541,0.16044,0.21535
US CPI Urban Consumers MoM SA,-0.03314,-0.18637,-0.57728,-1.17749,-1.7562,1.84727,1.93824,1.3574,0.59785,0.20162
,0.42265,0.2337,0.20879,0.11847,0.04959,0.04779,0.03023,0.02928,0.04295,0.10946
US Durable Goods New Orders Industries MoM SA,-0.00065,-0.00329,-0.00865,-0.01328,-0.01345,0.01427,0.00967,0.00298,-0.00188,-0.00259
,0.78658,0.71716,0.74589,0.76175,0.7957,0.79235,0.85231,0.93423,0.91268,0.72376
US Employees on Nonfarm Payrolls Total MoM Net Change SA,1e-05,-4e-05,-0.00014,-0.00021,-0.00018,0.00018,0.0001,4e-05,1e-05,1e-05
,0.08789,0.03992,0.00637,0.01068,0.06553,0.07342,0.32431,0.59186,0.66602,0.63561
US Initial Jobless Claims SA,-0.0001,-0.00041,-0.00093,-0.00119,-0.00086,0.00084,0.0003,4e-05,2e-05,2e-05
,0,0,0,0,0.00225,0.00433,0.28904,0.85817,0.85438,0.58952
University of Michigan Consumer Sentiment Index,0.00292,-0.05822,-0.19114,-0.27659,-0.21845,0.21827,0.09565,0.02591,0.01115,0.00752
,0.52254,0.0008,0.00018,0.00094,0.02726,0.03449,0.33304,0.70639,0.73251,0.58885
R^2,0.07012,0.09146,0.07178,0.05311,0.02897,0.02705,0.01389,0.0112,0.01098,0.01031
RMSE,0.04672,0.17688,0.51908,0.85218,1.01018,1.05409,1.00991,0.70318,0.33355,0.14232
nObs,875,875,875,875,875,875,875,875,875,875
