Var,<0.0%,<0.5%,<1.0%,<1.5%,<2.0%,2.0%>,2.5%>,3.0%>,3.5%>,4.0%>
FederalFundsRateFactor,0.08612,0.31049,0.74901,1.1727,1.31321,-1.34546,-1.13927,-0.71877,-0.31782,-0.10942
,0.04013,0.02921,0.03695,0.05324,0.08825,0.09223,0.14304,0.19145,0.25048,0.36462
ForwardGuidanceFactor,0.03106,0.12223,0.31105,0.5106,0.6054,-0.62422,-0.56043,-0.37397,-0.17935,-0.07306
,0.00036,5e-05,5e-05,7e-05,0.00019,0.00021,0.00057,0.00109,0.00176,0.00336
LSAPFactor,0.01495,0.11726,0.34842,0.59115,0.69315,-0.71071,-0.61231,-0.37032,-0.13138,-0.01401
,0.49232,0.11572,0.06597,0.06593,0.09013,0.09392,0.13842,0.20477,0.36952,0.82614
x_LSAPFactor,0,0,0,0,0,0,0,0,0,0
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
R^2,0.30617,0.36647,0.36913,0.3521,0.31598,0.31272,0.27376,0.24611,0.22271,0.19755
RMSE,0.04583,0.15498,0.39173,0.66454,0.84818,0.88022,0.86057,0.61037,0.30753,0.13462
nObs,46,46,46,46,46,46,46,46,46,46
