Var,<0.0%,<0.5%,<1.0%,<1.5%,<2.0%,2.0%>,2.5%>,3.0%>,3.5%>,4.0%>
ff.shock.0,1.05811,0.91152,-0.24083,-1.10627,-0.56383,0.68291,-0.34083,-0.56761,-0.21306,0.01821
,0.36207,0.72637,0.96991,0.91115,0.95775,0.9511,0.97129,0.92279,0.92706,0.98203
ns.shock,2.08829,13.10428,35.94453,53.10917,48.85533,-49.95351,-31.67485,-15.02935,-5.47814,-1.91624
,0.0276,0,0,0,0,0,0.00012,0.00228,0.0048,0.00455
R^2,0.14802,0.49853,0.54453,0.51827,0.4424,0.43076,0.29854,0.20255,0.17615,0.17463
RMSE,0.13634,0.30707,0.7533,1.16948,1.25543,1.31374,1.11724,0.69089,0.27456,0.0954
nObs,49,49,49,49,49,49,49,49,49,49
