Var,<0.0%,<0.5%,<1.0%,<1.5%,<2.0%,2.0%>,2.5%>,3.0%>,3.5%>,4.0%>
ff.shock.0,0.30799,0.29554,-0.06241,-0.45642,-0.5185,0.60467,0.34254,-0.00608,-0.21623,-0.19056
,0.66732,0.8744,0.98827,0.94668,0.95058,0.94467,0.96702,0.99914,0.93472,0.86048
ns.shock,2.5903,8.69438,20.61688,31.95101,35.29326,-36.40727,-30.26286,-18.56597,-7.83458,-2.6842
,4e-05,0,0,0,0,0,3e-05,0.00014,0.00051,0.00314
R^2,0.34565,0.45433,0.47139,0.45178,0.40085,0.39603,0.33434,0.29094,0.25261,0.194
RMSE,0.08445,0.22054,0.50072,0.8051,0.98691,1.0279,0.97744,0.66528,0.3114,0.12788
nObs,49,49,49,49,49,49,49,49,49,49
