Var,<0.0%,<0.5%,<1.0%,<1.5%,<2.0%,2.0%>,2.5%>,3.0%>,3.5%>,4.0%>
FederalFundsRateFactor,0.40625,0.92335,1.75527,2.30913,2.08543,-2.10239,-1.36877,-0.67529,-0.24584,-0.07159
,0.05495,0.0427,0.06254,0.0906,0.1336,0.14269,0.22237,0.30729,0.35244,0.43141
ForwardGuidanceFactor,0.14701,0.3698,0.74478,1.0206,0.97114,-0.98168,-0.68844,-0.3688,-0.14477,-0.04557
,0.00076,0.00012,0.00017,0.00035,0.00079,0.00098,0.00288,0.00642,0.0074,0.01377
LSAPFactor,-0.0763,-0.08536,0.0051,0.13498,0.20945,-0.23183,-0.21065,-0.11778,-0.02363,0.01475
,0.48866,0.71763,0.9917,0.84965,0.77371,0.75789,0.72139,0.73596,0.86564,0.75944
x_LSAPFactor,0,0,0,0,0,0,0,0,0,0
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
R^2,0.31286,0.35907,0.33033,0.29809,0.26374,0.25509,0.21015,0.1764,0.17101,0.15597
RMSE,0.23193,0.49789,1.03407,1.50284,1.53698,1.58665,1.24598,0.73677,0.29481,0.10162
nObs,46,46,46,46,46,46,46,46,46,46
