Var,1y,3y,5y,7y,10y,15y,20y,30y
ff.shock.0,-0.62855,-0.16903,-0.04215,-0.00052,-0.0654,-0.01134,-0.04285,-0.00373
,0.261,0.51987,0.84235,0.99776,0.73203,0.94767,0.79013,0.98095
ns.shock,-1.07449,-1.023,-1.04241,-0.84401,-0.73596,-0.65799,-0.63072,-0.59422
,0.01878,1e-05,0,0,1e-05,2e-05,1e-05,2e-05
R^2,0.17506,0.38738,0.48309,0.43823,0.37086,0.35642,0.37567,0.35468
RMSE,0.06551,0.03092,0.025,0.02194,0.02252,0.02038,0.01899,0.01842
nObs,49,49,49,49,49,49,49,49
