Var,<0.0%,<0.5%,<1.0%,<1.5%,<2.0%,2.0%>,2.5%>,3.0%>,3.5%>,4.0%>
ff.shock.0,-0.01244,0.04884,0.22476,0.43944,0.57143,-0.60063,-0.57045,-0.39374,-0.19306,-0.08099
,0.97986,0.9732,0.94798,0.93809,0.93527,0.934,0.93514,0.9378,0.94292,0.94821
ns.shock,2.1716,6.93423,16.11555,25.23301,28.81369,-29.58717,-25.82784,-17.03045,-8.24159,-3.43328
,0,0,0,0,1e-05,1e-05,3e-05,0.0001,0.00036,0.00115
R^2,0.42304,0.46356,0.4547,0.43158,0.39058,0.38882,0.34183,0.30367,0.26349,0.225
RMSE,0.05813,0.17149,0.40643,0.66746,0.83007,0.8556,0.827,0.59526,0.31807,0.14709
nObs,49,49,49,49,49,49,49,49,49,49
