Var,<0.0%,<0.5%,<1.0%,<1.5%,<2.0%,2.0%>,2.5%>,3.0%>,3.5%>,4.0%>
ff.shock.0,0.83457,2.64049,6.0158,8.23275,7.03207,-7.18501,-4.08265,-1.71191,-0.67895,-0.46287
,0.65153,0.49452,0.46,0.49156,0.56803,0.57258,0.68483,0.77436,0.7756,0.57179
ns.shock,6.53339,16.44312,32.72004,43.97258,40.44739,-40.76497,-27.25839,-14.08242,-5.61247,-1.9051
,5e-05,0,1e-05,3e-05,0.00015,0.0002,0.00134,0.00471,0.00474,0.00519
R^2,0.3369,0.42942,0.40553,0.36342,0.3111,0.30058,0.23216,0.18361,0.18331,0.1918
RMSE,0.21776,0.45483,0.95767,1.40838,1.4504,1.49959,1.1856,0.70416,0.28087,0.09641
nObs,49,49,49,49,49,49,49,49,49,49
