Var,<0.0%,<0.5%,<1.0%,<1.5%,<2.0%,2.0%>,2.5%>,3.0%>,3.5%>,4.0%>
FederalFundsRateFactor,0.21725,0.57284,1.19081,1.72433,1.81064,-1.8493,-1.47695,-0.88997,-0.38034,-0.12985
,0.00803,0.00902,0.01365,0.02309,0.04838,0.05237,0.10044,0.14429,0.18147,0.26369
ForwardGuidanceFactor,0.0621,0.19026,0.43831,0.68651,0.78554,-0.80945,-0.70401,-0.45431,-0.20711,-0.07906
,0.00022,4e-05,2e-05,2e-05,6e-05,6e-05,0.00021,0.00039,0.00052,0.0011
LSAPFactor,0.03108,0.17972,0.50559,0.84641,0.99179,-1.02746,-0.89412,-0.56065,-0.23193,-0.07162
,0.45719,0.11299,0.04574,0.03492,0.04205,0.04283,0.06238,0.08491,0.12625,0.24601
x_LSAPFactor,0,0,0,0,0,0,0,0,0,0
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
R^2,0.35127,0.39307,0.40638,0.398,0.36407,0.35952,0.31628,0.29013,0.27405,0.23969
RMSE,0.08794,0.23568,0.52115,0.82395,1.00372,1.04394,0.99121,0.67442,0.31559,0.12924
nObs,46,46,46,46,46,46,46,46,46,46
