Var,<0.0%,<0.5%,<1.0%,<1.5%,<2.0%,2.0%>,2.5%>,3.0%>,3.5%>,4.0%>
ff.shock.0,0.03365,0.02687,-0.08798,-0.26684,-0.41217,0.4295,0.4552,0.34677,0.1903,0.08052
,0.92566,0.98268,0.97819,0.96109,0.95256,0.95234,0.94805,0.94397,0.93859,0.94045
ns.shock,1.36436,5.85521,15.21757,24.76601,28.65333,-29.55523,-25.80813,-16.80557,-7.859,-3.13417
,2e-05,0,0,0,0,0,3e-05,9e-05,0.00022,0.00065
R^2,0.35414,0.45917,0.45773,0.43564,0.39136,0.38869,0.3387,0.30308,0.27479,0.24027
RMSE,0.04254,0.14601,0.37963,0.64532,0.81734,0.84778,0.82426,0.58208,0.29138,0.12715
nObs,49,49,49,49,49,49,49,49,49,49
