Var,<0.0%,<0.5%,<1.0%,<1.5%,<2.0%,2.0%>,2.5%>,3.0%>,3.5%>,4.0%>
ff.shock.0,-0.06672,-0.09274,-0.14554,-0.45692,-1.04716,1.12481,1.43511,1.06516,0.44179,0.12469
,0.78172,0.92424,0.96274,0.93552,0.88835,0.88568,0.8544,0.8461,0.86612,0.90981
ns.shock,0.19834,4.49749,14.6558,25.34716,29.75778,-31.00823,-26.81381,-16.76242,-7.05735,-2.46594
,0.30491,0,0,0,1e-05,1e-05,8e-05,0.00037,0.00144,0.00705
R^2,0.02289,0.44362,0.45467,0.43048,0.37224,0.36903,0.30292,0.25566,0.21076,0.15661
RMSE,0.0284,0.11504,0.36752,0.66632,0.87981,0.92288,0.92241,0.64726,0.30912,0.12985
nObs,49,49,49,49,49,49,49,49,49,49
