Var,<0.0%,<0.5%,<1.0%,<1.5%,<2.0%,2.0%>,2.5%>,3.0%>,3.5%>,4.0%>
ff.shock.0,-1.61074,7.06276,25.69889,37.24582,28.28451,-27.65572,-10.05353,-0.83934,0.15501,-0.20405
,0.8454,0.53572,0.17772,0.14182,0.23031,0.25801,0.58758,0.9384,0.97026,0.90643
ns.shock,10.39854,18.13953,29.26325,38.77926,40.84687,-42.2386,-34.44051,-19.8602,-6.74895,-1.43584
,0.11976,0.05066,0.05707,0.05743,0.03298,0.0336,0.02351,0.02589,0.04672,0.30311
R^2,0.05346,0.10979,0.14809,0.15656,0.15885,0.15376,0.1353,0.11447,0.08981,0.02723
RMSE,0.97435,1.3426,2.22706,2.95572,2.75978,2.86423,2.18335,1.28125,0.49048,0.20479
nObs,49,49,49,49,49,49,49,49,49,49
