Var,<0.0%,<0.5%,<1.0%,<1.5%,<2.0%,2.0%>,2.5%>,3.0%>,3.5%>,4.0%>
ff.shock.0,0.64432,0.38309,-0.78631,-1.71813,-1.37296,1.4509,0.46229,-0.09864,-0.14492,-0.03352
,0.37885,0.83828,0.87205,0.8297,0.88331,0.88304,0.95891,0.98635,0.9511,0.98286
ns.shock,1.68883,9.62169,26.15173,39.80263,39.3924,-40.55701,-28.86351,-15.29897,-5.70425,-1.80509
,0.00545,0,0,0,0,0,0.00019,0.00167,0.0039,0.15198
R^2,0.2057,0.50369,0.5172,0.47967,0.39784,0.38644,0.27987,0.21081,0.18258,0.04864
RMSE,0.08601,0.22139,0.5759,0.94216,1.10344,1.16331,1.05865,0.68044,0.27875,0.18406
nObs,49,49,49,49,49,49,49,49,49,49
