Var,<0.0%,<0.5%,<1.0%,<1.5%,<2.0%,2.0%>,2.5%>,3.0%>,3.5%>,4.0%>
FederalFundsRateFactor,0.19876,0.60003,1.31314,1.83817,1.72813,-1.73034,-1.16893,-0.59163,-0.19694,-0.0075
,0.01074,0.00524,0.015,0.03445,0.08828,0.10657,0.22968,0.34327,0.44262,0.96494
ForwardGuidanceFactor,0.04936,0.22866,0.59477,0.91172,0.93796,-0.96791,-0.72997,-0.40864,-0.15818,-0.05127
,0.00161,0,0,0,2e-05,3e-05,0.00038,0.00165,0.0029,0.13189
LSAPFactor,0.00862,0.21547,0.6881,1.10478,1.13756,-1.13135,-0.83539,-0.45472,-0.14608,0.02607
,0.82819,0.05278,0.01629,0.01751,0.03632,0.04872,0.10847,0.17274,0.2852,0.77381
x_LSAPFactor,0,0,0,0,0,0,0,0,0,0
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
R^2,0.30066,0.48267,0.48666,0.45499,0.38566,0.37065,0.28272,0.22721,0.20058,0.05945
RMSE,0.08386,0.22944,0.58329,0.94771,1.11631,1.18278,1.08127,0.69597,0.28652,0.19138
nObs,46,46,46,46,46,46,46,46,46,46
