Var,<0.0%,<0.5%,<1.0%,<1.5%,<2.0%,2.0%>,2.5%>,3.0%>,3.5%>,4.0%>
FederalFundsRateFactor,0.4104,1.25998,2.90934,4.03918,3.51854,-3.54167,-2.05353,-0.84766,-0.24653,-0.05266
,0.63234,0.30401,0.1629,0.14543,0.17233,0.18568,0.30934,0.47007,0.5783,0.77599
ForwardGuidanceFactor,-0.0365,0.22081,0.70109,1.14627,1.2745,-1.29529,-1.05754,-0.61469,-0.22378,-0.06021
,0.8284,0.35878,0.08899,0.03811,0.01426,0.01633,0.0101,0.01029,0.0133,0.1033
LSAPFactor,-1.16165,-1.27293,-1.09335,-0.62538,-0.01893,0.07269,-0.36073,-0.42548,-0.27195,-0.13603
,0.01393,0.05442,0.32055,0.66752,0.98884,0.95876,0.73523,0.49461,0.2512,0.17107
x_LSAPFactor,0,0,0,0,0,0,0,0,0,0
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
R^2,0.15968,0.15762,0.15023,0.1532,0.16813,0.16252,0.1603,0.15187,0.14831,0.08906
RMSE,0.96028,1.36528,2.30942,3.06978,2.85718,2.96772,2.25012,1.31129,0.49626,0.20738
nObs,46,46,46,46,46,46,46,46,46,46
