Var,<0.0%,<0.5%,<1.0%,<1.5%,<2.0%,2.0%>,2.5%>,3.0%>,3.5%>,4.0%>
FederalFundsRateFactor,0.11866,0.34791,0.77033,1.16587,1.28441,-1.3152,-1.1083,-0.70878,-0.33105,-0.12961
,0.03823,0.0343,0.04148,0.05791,0.09279,0.09492,0.14517,0.1947,0.25597,0.33578
ForwardGuidanceFactor,0.04996,0.1504,0.34354,0.54534,0.64392,-0.66064,-0.59942,-0.41012,-0.20717,-0.08982
,4e-05,2e-05,2e-05,4e-05,8e-05,8e-05,0.0002,0.00037,0.0007,0.00137
LSAPFactor,0.03735,0.14879,0.37973,0.62178,0.73379,-0.75271,-0.67478,-0.45364,-0.2214,-0.08891
,0.21152,0.0853,0.05759,0.0569,0.07133,0.07268,0.09622,0.11978,0.15444,0.21547
x_LSAPFactor,0,0,0,0,0,0,0,0,0,0
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
R^2,0.3656,0.38955,0.38642,0.37162,0.3427,0.34048,0.30812,0.2841,0.25894,0.23091
RMSE,0.0625,0.17922,0.41281,0.674,0.84178,0.86776,0.84175,0.6064,0.32412,0.1501
nObs,46,46,46,46,46,46,46,46,46,46
