Start Date,1y_-3.00% Bid Price,1y_-3.00% Ask Price,1y_-3.00% Last Price,3y_-3.00% Bid Price,3y_-3.00% Ask Price,3y_-3.00% Last Price,5y_-3.00% Bid Price,5y_-3.00% Ask Price,5y_-3.00% Last Price,7y_-3.00% Bid Price,7y_-3.00% Ask Price,7y_-3.00% Last Price,10y_-3.00% Bid Price,10y_-3.00% Ask Price,10y_-3.00% Last Price,15y_-3.00% Bid Price,15y_-3.00% Ask Price,15y_-3.00% Last Price,20y_-3.00% Bid Price,20y_-3.00% Ask Price,20y_-3.00% Last Price,30y_-3.00% Bid Price,30y_-3.00% Ask Price,30y_-3.00% Last Price,1y_-2.00% Bid Price,1y_-2.00% Ask Price,1y_-2.00% Last Price,3y_-2.00% Bid Price,3y_-2.00% Ask Price,3y_-2.00% Last Price,5y_-2.00% Bid Price,5y_-2.00% Ask Price,5y_-2.00% Last Price,7y_-2.00% Bid Price,7y_-2.00% Ask Price,7y_-2.00% Last Price,10y_-2.00% Bid Price,10y_-2.00% Ask Price,10y_-2.00% Last Price,15y_-2.00% Bid Price,15y_-2.00% Ask Price,15y_-2.00% Last Price,20y_-2.00% Bid Price,20y_-2.00% Ask Price,20y_-2.00% Last Price,30y_-2.00% Bid Price,30y_-2.00% Ask Price,30y_-2.00% Last Price,1y_-1.00% Bid Price,1y_-1.00% Ask Price,1y_-1.00% Last Price,3y_-1.00% Bid Price,3y_-1.00% Ask Price,3y_-1.00% Last Price,5y_-1.00% Bid Price,5y_-1.00% Ask Price,5y_-1.00% Last Price,7y_-1.00% Bid Price,7y_-1.00% Ask Price,7y_-1.00% Last Price,10y_-1.00% Bid Price,10y_-1.00% Ask Price,10y_-1.00% Last Price,15y_-1.00% Bid Price,15y_-1.00% Ask Price,15y_-1.00% Last Price,20y_-1.00% Bid Price,20y_-1.00% Ask Price,20y_-1.00% Last Price,30y_-1.00% Bid Price,30y_-1.00% Ask Price,30y_-1.00% Last Price,1y_-0.50% Bid Price,1y_-0.50% Ask Price,1y_-0.50% Last Price,3y_-0.50% Bid Price,3y_-0.50% Ask Price,3y_-0.50% Last Price,5y_-0.50% Bid Price,5y_-0.50% Ask Price,5y_-0.50% Last Price,7y_-0.50% Bid Price,7y_-0.50% Ask Price,7y_-0.50% Last Price,10y_-0.50% Bid Price,10y_-0.50% Ask Price,10y_-0.50% Last Price,15y_-0.50% Bid Price,15y_-0.50% Ask Price,15y_-0.50% Last Price,20y_-0.50% Bid Price,20y_-0.50% Ask Price,20y_-0.50% Last Price,30y_-0.50% Bid Price,30y_-0.50% Ask Price,30y_-0.50% Last Price,1y_0.00% Bid Price,1y_0.00% Ask Price,1y_0.00% Last Price,3y_0.00% Bid Price,3y_0.00% Ask Price,3y_0.00% Last Price,5y_0.00% Bid Price,5y_0.00% Ask Price,5y_0.00% Last Price,7y_0.00% Bid Price,7y_0.00% Ask Price,7y_0.00% Last Price,10y_0.00% Bid Price,10y_0.00% Ask Price,10y_0.00% Last Price,15y_0.00% Bid Price,15y_0.00% Ask Price,15y_0.00% Last Price,20y_0.00% Bid Price,20y_0.00% Ask Price,20y_0.00% Last Price,30y_0.00% Bid Price,30y_0.00% Ask Price,30y_0.00% Last Price,1y_0.50% Bid Price,1y_0.50% Ask Price,1y_0.50% Last Price,3y_0.50% Bid Price,3y_0.50% Ask Price,3y_0.50% Last Price,5y_0.50% Bid Price,5y_0.50% Ask Price,5y_0.50% Last Price,7y_0.50% Bid Price,7y_0.50% Ask Price,7y_0.50% Last Price,10y_0.50% Bid Price,10y_0.50% Ask Price,10y_0.50% Last Price,15y_0.50% Bid Price,15y_0.50% Ask Price,15y_0.50% Last Price,20y_0.50% Bid Price,20y_0.50% Ask Price,20y_0.50% Last Price,30y_0.50% Bid Price,30y_0.50% Ask Price,30y_0.50% Last Price,1y_1.00% Bid Price,1y_1.00% Ask Price,1y_1.00% Last Price,3y_1.00% Bid Price,3y_1.00% Ask Price,3y_1.00% Last Price,5y_1.00% Bid Price,5y_1.00% Ask Price,5y_1.00% Last Price,7y_1.00% Bid Price,7y_1.00% Ask Price,7y_1.00% Last Price,10y_1.00% Bid Price,10y_1.00% Ask Price,10y_1.00% Last Price,15y_1.00% Bid Price,15y_1.00% Ask Price,15y_1.00% Last Price,20y_1.00% Bid Price,20y_1.00% Ask Price,20y_1.00% Last Price,30y_1.00% Bid Price,30y_1.00% Ask Price,30y_1.00% Last Price,1y_1.50% Bid Price,1y_1.50% Ask Price,1y_1.50% Last Price,3y_1.50% Bid Price,3y_1.50% Ask Price,3y_1.50% Last Price,5y_1.50% Bid Price,5y_1.50% Ask Price,5y_1.50% Last Price,7y_1.50% Bid Price,7y_1.50% Ask Price,7y_1.50% Last Price,10y_1.50% Bid Price,10y_1.50% Ask Price,10y_1.50% Last Price,15y_1.50% Bid Price,15y_1.50% Ask Price,15y_1.50% Last Price,20y_1.50% Bid Price,20y_1.50% Ask Price,20y_1.50% Last Price,30y_1.50% Bid Price,30y_1.50% Ask Price,30y_1.50% Last Price,1y_2.00% Bid Price,1y_2.00% Ask Price,1y_2.00% Last Price,3y_2.00% Bid Price,3y_2.00% Ask Price,3y_2.00% Last Price,5y_2.00% Bid Price,5y_2.00% Ask Price,5y_2.00% Last Price,7y_2.00% Bid Price,7y_2.00% Ask Price,7y_2.00% Last Price,10y_2.00% Bid Price,10y_2.00% Ask Price,10y_2.00% Last Price,15y_2.00% Bid Price,15y_2.00% Ask Price,15y_2.00% Last Price,20y_2.00% Bid Price,20y_2.00% Ask Price,20y_2.00% Last Price,30y_2.00% Bid Price,30y_2.00% Ask Price,30y_2.00% Last Price,1y_3.00% Bid Price,1y_3.00% Ask Price,1y_3.00% Last Price,3y_3.00% Bid Price,3y_3.00% Ask Price,3y_3.00% Last Price,5y_3.00% Bid Price,5y_3.00% Ask Price,5y_3.00% Last Price,7y_3.00% Bid Price,7y_3.00% Ask Price,7y_3.00% Last Price,10y_3.00% Bid Price,10y_3.00% Ask Price,10y_3.00% Last Price,15y_3.00% Bid Price,15y_3.00% Ask Price,15y_3.00% Last Price,20y_3.00% Bid Price,20y_3.00% Ask Price,20y_3.00% Last Price,30y_3.00% Bid Price,30y_3.00% Ask Price,30y_3.00% Last Price
2013-09-23 00:00:00,,,0.1,,,0.743,,,1.542,,,2.52,,,2.67,,,3.65,,,5.599,,,9.94,,,0.331,,,1.5270000000000001,,,3.03,,,4.776,,,5.652,,,7.689,,,11.119,,,18.899,,,1.182,,,3.491,,,6.543,,,9.874,,,12.997,,,17.649,,,24.058,,,38.988,,,2.343,,,5.577,,,10.076,,,14.799,,,20.525,,,27.82,,,36.836,,,58.363,,,4.796,,,9.353,,,16.116,,,22.992,,,33.405,,,45.258,,,58.354,,,90.595,,,9.943,,,16.609,,,27.006,,,37.239,,,56.248,,,76.242,,,96.211,,,147.142,,,20.337,,,31.437,,,47.651,,,63.316,,,97.988,,,133.196,,,166.044,,,253.065,,,39.321,,,62.904,,,88.46,,,113.317,,,175.646,,,240.745,,,301.07,,,466.992,,,68.95,,,125.736,,,168.332,,,210.35,,,318.253,,,443.985,,,569.424,,,928.806,,,152.689,,,359.939,,,508.884,,,654.928,,,936.955,,,1401.79,,,1985.684,,,3809.212
2013-09-24 00:00:00,,,0.11,,,0.753,,,1.6019999999999999,,,2.795,,,2.769,,,3.741,,,5.716,,,10.054,,,0.341,,,1.556,,,3.161,,,5.293,,,5.862,,,7.9,,,11.373,,,19.208,,,1.242,,,3.57,,,6.888,,,10.952,,,13.573,,,18.209,,,24.698,,,39.781,,,2.473,,,5.725,,,10.668,,,16.44,,,21.492,,,28.791,,,37.944,,,59.744,,,5.067,,,9.631,,,17.171,,,25.57,,,35.13,,,46.983,,,60.317,,,93.103,,,10.514,,,17.156,,,28.96,,,41.46,,,59.391,,,79.387,,,99.838,,,151.917,,,21.468,,,32.583,,,51.502,,,70.547,,,103.876,,,139.184,,,173.085,,,262.862,,,41.344,,,65.349,,,96.191,,,126.005,,,186.713,,,252.275,,,315.242,,,488.472,,,71.974,,,130.282,,,182.943,,,232.089,,,338.18,,,465.627,,,598.02,,,977.641,,,157.154,,,367.587,,,538.641,,,696.839,,,982.256,,,1457.049,,,2068.757,,,3976.264
2013-09-25 00:00:00,,,0.1,,,0.752,,,1.611,,,2.824,,,2.8,,,3.777,,,5.755,,,10.103,,,0.331,,,1.5550000000000002,,,3.169,,,5.35,,,5.9350000000000005,,,8.019,,,11.49,,,19.279,,,1.182,,,3.578,,,6.902,,,11.089,,,13.767,,,18.518,,,24.984,,,39.976,,,2.3529999999999998,,,5.744,,,10.668,,,16.656,,,21.832,,,29.305,,,38.419,,,60.095,,,4.826,,,9.657,,,17.176,,,25.939,,,35.728,,,47.887,,,61.144,,,93.702,,,10.013,,,17.2,,,28.965,,,42.138,,,60.488,,,81.049,,,101.35,,,153.102,,,20.497,,,32.693,,,51.496,,,71.838,,,105.919,,,142.332,,,176.027,,,265.244,,,39.672,,,65.588,,,96.196,,,128.529,,,190.549,,,258.32,,,321.198,,,493.725,,,69.581,,,130.811,,,183.026,,,236.846,,,345.163,,,477.012,,,609.987,,,989.562,,,153.971,,,368.888,,,539.433,,,707.533,,,998.548,,,1486.398,,,2103.291,,,4016.432
2013-09-26 00:00:00,,,0.1,,,0.773,,,1.6019999999999999,,,2.703,,,2.769,,,3.762,,,5.716,,,10.05,,,0.331,,,1.587,,,3.172,,,5.142,,,5.873,,,7.941,,,11.413,,,19.133,,,1.182,,,3.661,,,6.898,,,10.639,,,13.584,,,18.326,,,24.783,,,39.584,,,2.3529999999999998,,,5.878,,,10.657,,,15.975999999999999,,,21.527,,,28.984,,,38.075,,,59.391,,,4.807,,,9.906,,,17.16,,,24.863,,,35.189,,,47.325,,,60.544,,,92.412,,,9.973,,,17.696,,,28.938,,,40.38,,,59.497,,,80.022,,,100.24,,,150.631,,,20.428,,,33.744,,,51.448,,,68.804,,,104.053,,,140.384,,,173.858,,,260.213,,,39.553,,,67.844,,,96.104,,,123.225,,,187.057,,,254.598,,,316.841,,,482.659,,,69.414,,,135.017,,,182.832,,,227.828,,,338.873,,,470.037,,,601.245,,,964.409,,,153.737,,,376.249,,,538.801,,,690.527,,,984.314,,,1468.658,,,2078.802,,,3931.853
2013-09-27 00:00:00,,,0.11,,,0.762,,,1.619,,,2.749,,,2.883,,,3.77,,,5.736,,,10.097,,,0.341,,,1.575,,,3.205,,,5.224,,,6.023,,,7.955,,,11.452,,,19.234,,,1.232,,,3.617,,,6.986,,,10.836,,,13.77,,,18.369,,,24.888,,,39.864,,,2.443,,,5.802,,,10.809,,,16.299,,,21.684,,,29.056,,,38.245,,,59.855,,,4.987,,,9.764,,,17.411,,,25.412,,,35.261,,,47.441,,,60.834,,,93.259,,,10.304,,,17.385,,,29.402,,,41.335,,,59.403,,,80.234,,,100.768,,,152.241,,,20.998,,,33.042,,,52.33,,,70.603,,,103.749,,,140.742,,,174.88,,,263.453,,,40.393,,,66.268,,,97.78,,,126.674,,,186.701,,,255.223,,,318.803,,,489.69,,,70.423,,,131.925,,,185.859,,,234.267,,,339.287,,,471.088,,,605.097,,,980.282,,,154.574,,,370.415,,,544.255,,,704.328,,,990.387,,,1470.543,,,2088.955,,,3984.447
2013-09-30 00:00:00,,,0.11,,,0.772,,,1.482,,,2.743,,,2.8890000000000002,,,3.7640000000000002,,,5.732,,,10.072,,,0.341,,,1.595,,,2.953,,,5.223,,,6.037,,,7.976,,,11.444,,,19.209,,,1.242,,,3.689,,,6.503,,,10.845,,,13.789,,,18.419,,,24.896,,,39.848,,,2.473,,,5.934,,,10.127,,,16.319,,,21.734,,,29.149,,,38.27,,,59.846,,,5.077,,,10.009,,,16.438,,,25.45,,,35.368,,,47.6,,,60.901,,,93.242,,,10.534,,,17.924,,,27.993,,,41.426,,,59.631,,,80.529,,,100.905,,,152.212,,,21.479,,,34.213,,,50.379,,,70.807,,,104.196,,,141.358,,,175.18,,,263.437,,,41.286,,,68.802,,,95.45,,,127.112,,,187.599,,,256.45,,,319.496,,,489.74,,,71.747,,,136.587,,,184.014,,,235.207,,,340.964,,,473.452,,,606.552,,,980.502,,,156.431,,,377.926,,,546.754,,,706.936,,,994.309,,,1476.654,,,2093.121,,,3986.206
2013-10-01 00:00:00,,,0.11,,,0.772,,,1.461,,,2.699,,,2.675,,,3.711,,,5.656,,,10.001,,,0.351,,,1.6059999999999999,,,2.901,,,5.124,,,5.595,,,7.834,,,11.254,,,19.025,,,1.262,,,3.719,,,6.368,,,10.615,,,12.818,,,18.047,,,24.413,,,39.293,,,2.533,,,5.985,,,9.898,,,15.945,,,20.234,,,28.514,,,37.434,,,58.881,,,5.197,,,10.12,,,16.031,,,24.809,,,32.974,,,46.498,,,59.432,,,91.547,,,10.784,,,18.137,,,27.231,,,40.273,,,55.702,,,78.486,,,98.182,,,148.978,,,22.009,,,34.68,,,48.851,,,68.628,,,97.644,,,137.465,,,169.869,,,256.798,,,42.255,,,69.766,,,92.326,,,122.856,,,176.695,,,248.969,,,308.785,,,475.19,,,73.266,,,138.342,,,178.081,,,227.125,,,323.671,,,459.433,,,585.006,,,947.422,,,158.868,,,380.743,,,534.991,,,688.776,,,963.519,,,1441.385,,,2031.26,,,3873.481
2013-10-02 00:00:00,,,0.11,,,0.752,,,1.439,,,2.685,,,2.673,,,3.693,,,5.655,,,9.993,,,0.361,,,1.554,,,2.846,,,5.096,,,5.591,,,7.804,,,11.25,,,19.016,,,1.262,,,3.575,,,6.225,,,10.535,,,12.797,,,17.969,,,24.358,,,39.326,,,2.483,,,5.728,,,9.647,,,15.813,,,20.183,,,28.374,,,37.368,,,58.959,,,4.997,,,9.639,,,15.563,,,24.588,,,32.877,,,46.215,,,59.294,,,91.672,,,10.213,,,17.165,,,26.339,,,39.865,,,55.526,,,77.993,,,97.928,,,149.19,,,20.667,,,32.603,,,47.072,,,67.835,,,97.313,,,136.508,,,169.382,,,257.262,,,39.712,,,65.408,,,88.718,,,121.308,,,176.082,,,247.131,,,307.781,,,476.139,,,69.481,,,130.461,,,171.242,,,224.198,,,322.606,,,456.059,,,582.999,,,949.604,,,153.861,,,368.307,,,521.689,,,682.341,,,961.774,,,1433.486,,,2025.796,,,3881.331
2013-10-03 00:00:00,,,0.11,,,0.741,,,1.447,,,2.703,,,2.681,,,3.738,,,5.679,,,10.016,,,0.341,,,1.5230000000000001,,,2.863,,,5.121,,,5.621,,,7.893,,,11.318,,,19.06,,,1.182,,,3.483,,,6.268,,,10.619,,,12.866,,,18.192,,,24.535,,,39.416,,,2.313,,,5.575,,,9.725999999999999,,,15.934,,,20.304,,,28.748,,,37.653,,,59.094,,,4.646,,,9.332,,,15.707,,,24.796,,,33.092,,,46.907,,,59.794,,,91.941,,,9.482,,,16.541,,,26.615,,,40.25,,,55.923,,,79.248,,,98.871,,,149.709,,,19.235,,,31.295,,,47.621,,,68.57,,,98.078,,,138.893,,,171.189,,,258.294,,,37.228,,,62.641,,,89.825,,,122.746,,,177.527,,,251.718,,,311.433,,,478.41,,,65.855,,,125.393,,,173.361,,,226.935,,,325.237,,,464.646,,,590.377,,,954.759,,,148.912,,,360.207,,,525.841,,,688.504,,,967.628,,,1455.105,,,2047.562,,,3898.986
2013-10-04 00:00:00,,,0.11,,,0.742,,,1.44,,,2.678,,,2.694,,,3.709,,,5.672,,,10.002,,,0.351,,,1.524,,,2.848,,,5.082,,,5.621,,,7.837,,,11.303,,,19.024,,,1.212,,,3.475,,,6.208,,,10.496,,,12.834,,,18.045,,,24.477,,,39.295,,,2.373,,,5.538,,,9.611,,,15.739,,,20.216,,,28.51,,,37.552,,,58.883,,,4.756,,,9.267,,,15.499,,,24.461,,,32.881,,,46.458,,,59.621,,,91.53,,,9.693,,,16.4,,,26.209,,,39.616,,,55.441,,,78.403,,,98.506,,,148.929,,,19.555,,,30.961,,,46.786,,,67.338,,,96.999,,,137.262,,,170.445,,,256.664,,,37.659,,,61.821,,,88.047,,,120.277,,,175.259,,,248.513,,,309.905,,,474.804,,,66.316,,,123.683,,,169.811,,,222.126,,,320.797,,,458.518,,,587.175,,,946.403,,,149.022,,,356.538,,,518.03,,,677.091,,,956.977,,,1438.847,,,2037.46,,,3869.365
