Start Date,1y-1.00% Bid Price,1y-1.00% Ask Price,1y-1.00% Last Price,3y-1.00% Bid Price,3y-1.00% Ask Price,3y-1.00% Last Price,5y-1.00% Bid Price,5y-1.00% Ask Price,5y-1.00% Last Price,7y-1.00% Bid Price,7y-1.00% Ask Price,7y-1.00% Last Price,10y-1.00% Bid Price,10y-1.00% Ask Price,10y-1.00% Last Price,15y-1.00% Bid Price,15y-1.00% Ask Price,15y-1.00% Last Price,20y-1.00% Bid Price,20y-1.00% Ask Price,20y-1.00% Last Price,30y-1.00% Bid Price,30y-1.00% Ask Price,30y-1.00% Last Price,1y-1.50% Bid Price,1y-1.50% Ask Price,1y-1.50% Last Price,3y-1.50% Bid Price,3y-1.50% Ask Price,3y-1.50% Last Price,5y-1.50% Bid Price,5y-1.50% Ask Price,5y-1.50% Last Price,7y-1.50% Bid Price,7y-1.50% Ask Price,7y-1.50% Last Price,10y-1.50% Bid Price,10y-1.50% Ask Price,10y-1.50% Last Price,15y-1.50% Bid Price,15y-1.50% Ask Price,15y-1.50% Last Price,20y-1.50% Bid Price,20y-1.50% Ask Price,20y-1.50% Last Price,30y-1.50% Bid Price,30y-1.50% Ask Price,30y-1.50% Last Price,1y-2.00% Bid Price,1y-2.00% Ask Price,1y-2.00% Last Price,3y-2.00% Bid Price,3y-2.00% Ask Price,3y-2.00% Last Price,5y-2.00% Bid Price,5y-2.00% Ask Price,5y-2.00% Last Price,7y-2.00% Bid Price,7y-2.00% Ask Price,7y-2.00% Last Price,10y-2.00% Bid Price,10y-2.00% Ask Price,10y-2.00% Last Price,15y-2.00% Bid Price,15y-2.00% Ask Price,15y-2.00% Last Price,20y-2.00% Bid Price,20y-2.00% Ask Price,20y-2.00% Last Price,30y-2.00% Bid Price,30y-2.00% Ask Price,30y-2.00% Last Price,1y-2.50% Bid Price,1y-2.50% Ask Price,1y-2.50% Last Price,3y-2.50% Bid Price,3y-2.50% Ask Price,3y-2.50% Last Price,5y-2.50% Bid Price,5y-2.50% Ask Price,5y-2.50% Last Price,7y-2.50% Bid Price,7y-2.50% Ask Price,7y-2.50% Last Price,10y-2.50% Bid Price,10y-2.50% Ask Price,10y-2.50% Last Price,15y-2.50% Bid Price,15y-2.50% Ask Price,15y-2.50% Last Price,20y-2.50% Bid Price,20y-2.50% Ask Price,20y-2.50% Last Price,30y-2.50% Bid Price,30y-2.50% Ask Price,30y-2.50% Last Price,1y-3.00% Bid Price,1y-3.00% Ask Price,1y-3.00% Last Price,3y-3.00% Bid Price,3y-3.00% Ask Price,3y-3.00% Last Price,5y-3.00% Bid Price,5y-3.00% Ask Price,5y-3.00% Last Price,7y-3.00% Bid Price,7y-3.00% Ask Price,7y-3.00% Last Price,10y-3.00% Bid Price,10y-3.00% Ask Price,10y-3.00% Last Price,15y-3.00% Bid Price,15y-3.00% Ask Price,15y-3.00% Last Price,20y-3.00% Bid Price,20y-3.00% Ask Price,20y-3.00% Last Price,30y-3.00% Bid Price,30y-3.00% Ask Price,30y-3.00% Last Price,1y-3.50% Bid Price,1y-3.50% Ask Price,1y-3.50% Last Price,3y-3.50% Bid Price,3y-3.50% Ask Price,3y-3.50% Last Price,5y-3.50% Bid Price,5y-3.50% Ask Price,5y-3.50% Last Price,7y-3.50% Bid Price,7y-3.50% Ask Price,7y-3.50% Last Price,10y-3.50% Bid Price,10y-3.50% Ask Price,10y-3.50% Last Price,15y-3.50% Bid Price,15y-3.50% Ask Price,15y-3.50% Last Price,20y-3.50% Bid Price,20y-3.50% Ask Price,20y-3.50% Last Price,30y-3.50% Bid Price,30y-3.50% Ask Price,30y-3.50% Last Price,1y-4.00% Bid Price,1y-4.00% Ask Price,1y-4.00% Last Price,3y-4.00% Bid Price,3y-4.00% Ask Price,3y-4.00% Last Price,5y-4.00% Bid Price,5y-4.00% Ask Price,5y-4.00% Last Price,7y-4.00% Bid Price,7y-4.00% Ask Price,7y-4.00% Last Price,10y-4.00% Bid Price,10y-4.00% Ask Price,10y-4.00% Last Price,15y-4.00% Bid Price,15y-4.00% Ask Price,15y-4.00% Last Price,20y-4.00% Bid Price,20y-4.00% Ask Price,20y-4.00% Last Price,30y-4.00% Bid Price,30y-4.00% Ask Price,30y-4.00% Last Price,1y-4.50% Bid Price,1y-4.50% Ask Price,1y-4.50% Last Price,3y-4.50% Bid Price,3y-4.50% Ask Price,3y-4.50% Last Price,5y-4.50% Bid Price,5y-4.50% Ask Price,5y-4.50% Last Price,7y-4.50% Bid Price,7y-4.50% Ask Price,7y-4.50% Last Price,10y-4.50% Bid Price,10y-4.50% Ask Price,10y-4.50% Last Price,15y-4.50% Bid Price,15y-4.50% Ask Price,15y-4.50% Last Price,20y-4.50% Bid Price,20y-4.50% Ask Price,20y-4.50% Last Price,30y-4.50% Bid Price,30y-4.50% Ask Price,30y-4.50% Last Price,1y-5.00% Bid Price,1y-5.00% Ask Price,1y-5.00% Last Price,3y-5.00% Bid Price,3y-5.00% Ask Price,3y-5.00% Last Price,5y-5.00% Bid Price,5y-5.00% Ask Price,5y-5.00% Last Price,7y-5.00% Bid Price,7y-5.00% Ask Price,7y-5.00% Last Price,10y-5.00% Bid Price,10y-5.00% Ask Price,10y-5.00% Last Price,15y-5.00% Bid Price,15y-5.00% Ask Price,15y-5.00% Last Price,20y-5.00% Bid Price,20y-5.00% Ask Price,20y-5.00% Last Price,30y-5.00% Bid Price,30y-5.00% Ask Price,30y-5.00% Last Price,1y-6.00% Bid Price,1y-6.00% Ask Price,1y-6.00% Last Price,3y-6.00% Bid Price,3y-6.00% Ask Price,3y-6.00% Last Price,5y-6.00% Bid Price,5y-6.00% Ask Price,5y-6.00% Last Price,7y-6.00% Bid Price,7y-6.00% Ask Price,7y-6.00% Last Price,10y-6.00% Bid Price,10y-6.00% Ask Price,10y-6.00% Last Price,15y-6.00% Bid Price,15y-6.00% Ask Price,15y-6.00% Last Price,20y-6.00% Bid Price,20y-6.00% Ask Price,20y-6.00% Last Price,30y-6.00% Bid Price,30y-6.00% Ask Price,30y-6.00% Last Price
2013-09-23 00:00:00,,,73.376,,,325.184,,,714.833,,,1176.584,,,1986.782,,,3607.554,,,5449.362,,,9918.328,,,42.085,,,202.44,,,492.447,,,848.522,,,1504.579,,,2821.31,,,4316.214,,,7976.966,,,21.438,,,109.524,,,303.865,,,556.134,,,1061.888,,,2066.875,,,3191.865,,,5952.182,,,10.083,,,54.549,,,169.735,,,330.594,,,695.267,,,1407.094,,,2181.985,,,4082.486,,,4.616,,,27.61,,,91.469,,,186.598,,,429.668,,,900.51,,,1401.882,,,2662.788,,,2.143,,,14.909,,,50.66,,,106.504,,,259.374,,,559.045,,,883.193,,,1754.875,,,1.021,,,8.62,,,29.555,,,63.546,,,157.726,,,347.71,,,566.084,,,1206.484,,,0.511,,,5.282,,,18.182,,,39.863,,,98.235,,,220.841,,,375.023,,,867.676,,,0.26,,,3.399,,,11.715,,,26.157,,,63.033,,,144.259,,,257.295,,,648.51,,,0.08,,,1.5779999999999998,,,5.44,,,12.566,,,28.313,,,66.979,,,132.827,,,395.713
2013-09-24 00:00:00,,,70.882,,,317.675,,,681.272,,,1132.731,,,1921.36,,,3515.825,,,5305.072,,,9624.345,,,40.192,,,196.231,,,462.76,,,810.299,,,1444.316,,,2735.123,,,4179.086,,,7694.955,,,20.266,,,105.417,,,281.067,,,527.117,,,1010.503,,,1990.807,,,3069.124,,,5697.83,,,9.472,,,52.414,,,155.456,,,312.98,,,656.291,,,1346.575,,,2083.738,,,3881.417,,,4.326,,,26.603,,,83.815,,,178.119,,,403.652,,,858.034,,,1333.625,,,2527.645,,,2.013,,,14.42,,,46.697,,,102.99,,,243.478,,,532.04,,,840.311,,,1670.713,,,0.961,,,8.37,,,27.444,,,62.241,,,148.335,,,331.277,,,539.931,,,1153.299,,,0.481,,,5.146,,,17,,,39.466,,,92.671,,,210.864,,,358.765,,,832.465,,,0.25,,,3.326,,,11.02,,,26.143,,,59.663,,,138.076,,,246.864,,,624.087,,,0.08,,,1.546,,,5.158,,,12.739,,,26.965,,,64.406,,,128.044,,,382.525
2013-09-25 00:00:00,,,73.326,,,317.613,,,682.816,,,1120.339,,,1903.369,,,3475.271,,,5249.606,,,9557.952,,,41.945,,,196.013,,,463.784,,,798.977,,,1427.243,,,2696.389,,,4126.17,,,7631.136,,,21.308,,,105.183,,,281.622,,,517.866,,,995.606,,,1956.192,,,3021.748,,,5640.375,,,9.993,,,52.261,,,155.704,,,306.661,,,644.83,,,1318.858,,,2045.938,,,3836.265,,,4.566,,,26.532,,,83.917,,,174.44,,,395.935,,,838.533,,,1307.496,,,2497.454,,,2.113,,,14.384,,,46.759,,,100.978,,,238.753,,,519.633,,,823.942,,,1651.933,,,1.011,,,8.346,,,27.482,,,61.127,,,145.544,,,323.717,,,529.928,,,1141.419,,,0.501,,,5.144,,,17.016,,,38.823,,,91.016,,,206.272,,,352.545,,,824.621,,,0.26,,,3.324,,,11.031,,,25.745,,,58.656,,,135.242,,,242.887,,,618.632,,,0.08,,,1.545,,,5.174,,,12.575,,,26.567,,,63.236,,,126.236,,,379.585
2013-09-26 00:00:00,,,73.509,,,311.68,,,682.488,,,1137.526,,,1921.33,,,3500.654,,,5294.131,,,9703.218,,,42.077,,,190.982,,,463.627,,,813.878,,,1443.941,,,2720.494,,,4168.067,,,7770.356,,,21.379,,,101.822,,,281.595,,,529.053,,,1009.903,,,1977.581,,,3058.738,,,5765.505,,,10.034,,,50.514,,,155.72,,,313.352,,,655.649,,,1335.877,,,2075.064,,,3934.52,,,4.586,,,25.7,,,83.931,,,177.634,,,403.131,,,850.44,,,1327.454,,,2563.133,,,2.123,,,13.984,,,46.76,,,102.302,,,243.139,,,527.185,,,836.398,,,1692.806,,,1.021,,,8.146,,,27.486,,,61.612,,,148.129,,,328.303,,,537.517,,,1167.282,,,0.511,,,5.024,,,17.021,,,38.96,,,92.552,,,209.057,,,357.29,,,841.759,,,0.26,,,3.254,,,11.031,,,25.744,,,59.588,,,136.96,,,245.953,,,630.536,,,0.08,,,1.526,,,5.168,,,12.506,,,26.935,,,63.947,,,127.654,,,386.027
2013-09-27 00:00:00,,,72.055,,,315.67,,,675.261,,,1119.139,,,1907.614,,,3494.293,,,5272.781,,,9608.595,,,41.174,,,194.535,,,457.518,,,797.469,,,1430.681,,,2714.983,,,4148.329,,,7680.096,,,20.928,,,104.299,,,277.143,,,515.97,,,997.979,,,1973.162,,,3041.651,,,5684.759,,,9.853,,,51.86,,,153.092,,,304.607,,,646.66,,,1332.693,,,2061.887,,,3871.401,,,4.526,,,26.367,,,82.584,,,172.652,,,398.149,,,848.427,,,1318.603,,,2521.108,,,2.103,,,14.327,,,46.1,,,99.642,,,241.6,,,526.02,,,830.97,,,1666.762,,,1.011,,,8.332,,,27.145,,,60.166,,,148.674,,,327.662,,,534.285,,,1150.855,,,0.501,,,5.131,,,16.836,,,38.142,,,94.046,,,208.708,,,355.299,,,830.922,,,0.26,,,3.323,,,10.926,,,25.253,,,61.372,,,136.764,,,244.691,,,623.046,,,0.08,,,1.5550000000000002,,,5.133,,,12.307,,,28.505,,,63.878,,,127.089,,,381.999
2013-09-30 00:00:00,,,70.505,,,307.671,,,665.678,,,1117.285,,,1901.784,,,3483.955,,,5263.696,,,9609.578,,,40.024,,,188.043,,,447.541,,,795.547,,,1425.306,,,2705.266,,,4139.837,,,7680.598,,,20.217,,,100.088,,,267.663,,,514.217,,,993.38,,,1964.585,,,3034.177,,,5684.737,,,9.463,,,49.678,,,145.542,,,303.283,,,643.181,,,1325.862,,,2055.993,,,3871.01,,,4.336,,,25.312,,,77.445,,,171.817,,,395.797,,,843.617,,,1314.501,,,2520.633,,,2.013,,,13.789,,,42.8,,,99.136,,,240.122,,,522.91,,,828.353,,,1666.361,,,0.961,,,8.038,,,25.019,,,59.87,,,147.768,,,325.72,,,532.611,,,1150.551,,,0.481,,,4.959,,,15.436,,,37.952,,,93.477,,,207.489,,,354.221,,,830.655,,,0.25,,,3.211,,,9.978,,,25.13,,,61.011,,,135.977,,,243.94,,,622.86,,,0.08,,,1.504,,,4.648,,,12.251,,,28.338,,,63.52,,,126.707,,,381.873
2013-10-01 00:00:00,,,69.591,,,304.973,,,678.621,,,1138.897,,,1930.837,,,3541.549,,,5369.583,,,9802.649,,,39.281,,,185.855,,,458.888,,,815.235,,,1450.008,,,2759.245,,,4240.324,,,7865.997,,,19.726,,,98.684,,,276.199,,,530.245,,,1011.689,,,2012.036,,,3123.83,,,5851.971,,,9.212,,,48.966,,,150.723,,,314.203,,,654.074,,,1363.407,,,2127.379,,,4002.989,,,4.206,,,24.976,,,80.156,,,178.148,,,400.616,,,869.798,,,1363.843,,,2609.197,,,1.9529999999999998,,,13.626,,,44.179,,,102.588,,,241.403,,,539.504,,,859.264,,,1721.484,,,0.941,,,7.946,,,25.748,,,61.765,,,147.506,,,335.813,,,551.48,,,1185.401,,,0.471,,,4.918,,,15.85,,,39.05,,,92.708,,,213.62,,,365.958,,,853.715,,,0.24,,,3.18,,,10.218,,,25.804,,,60.147,,,139.781,,,251.494,,,638.844,,,0.07,,,1.494,,,4.746,,,12.525,,,27.677,,,65.117,,,130.176,,,390.479
2013-10-02 00:00:00,,,73.436,,,318.175,,,695.554,,,1147.727,,,1937.146,,,3559.612,,,5382.188,,,9791.132,,,41.925,,,196.469,,,473.541,,,823.153,,,1455.348,,,2775.666,,,4251.996,,,7854.744,,,21.138,,,105.486,,,287.141,,,536.615,,,1015.841,,,2026.037,,,3133.982,,,5841.613,,,9.783,,,52.418,,,157.353,,,318.519,,,656.937,,,1374.184,,,2135.29,,,3994.664,,,4.386,,,26.6,,,83.612,,,180.631,,,402.382,,,877.161,,,1369.228,,,2603.513,,,1.9929999999999999,,,14.422,,,45.942,,,103.93,,,242.429,,,544.105,,,862.626,,,1717.952,,,0.931,,,8.369,,,26.691,,,62.511,,,148.099,,,338.596,,,553.54,,,1183.177,,,0.461,,,5.149,,,16.373,,,39.488,,,93.064,,,215.304,,,367.234,,,852.26,,,0.23,,,3.321,,,10.531,,,26.062,,,60.368,,,140.844,,,252.322,,,637.851,,,0.07,,,1.554,,,4.882,,,12.637,,,27.789,,,65.564,,,130.57,,,389.964
2013-10-03 00:00:00,,,77.34,,,327.338,,,690.2,,,1140.035,,,1927.868,,,3522.781,,,5347.602,,,9760.308,,,44.778,,,203.884,,,468.909,,,816.154,,,1446.929,,,2741.223,,,4218.827,,,7825.162,,,22.85,,,110.304,,,283.672,,,530.914,,,1008.79,,,1995.807,,,3104.019,,,5814.896,,,10.644,,,54.893,,,155.239,,,314.62,,,651.711,,,1350.286,,,2111.134,,,3973.517,,,4.786,,,27.761,,,82.515,,,178.37,,,398.976,,,860.486,,,1352.378,,,2589.308,,,2.173,,,14.988,,,45.386,,,102.706,,,240.386,,,533.547,,,852.008,,,1709.109,,,1.011,,,8.662,,,26.391,,,61.829,,,146.897,,,332.169,,,547.065,,,1177.585,,,0.491,,,5.321,,,16.207,,,39.098,,,92.354,,,211.404,,,363.213,,,848.56,,,0.25,,,3.422,,,10.429,,,25.822,,,59.932,,,138.428,,,249.76,,,635.278,,,0.07,,,1.5939999999999999,,,4.8309999999999995,,,12.535,,,27.601,,,64.554,,,129.401,,,388.591
2013-10-04 00:00:00,,,76.429,,,329.306,,,697.772,,,1152.958,,,1937.627,,,3546.168,,,5360.909,,,9808.128,,,44.247,,,205.816,,,475.841,,,828.17,,,1455.998,,,2763.621,,,4231.972,,,7871.516,,,22.619,,,111.784,,,289.155,,,540.927,,,1016.251,,,2015.953,,,3116.268,,,5857.205,,,10.574,,,55.755,,,158.738,,,321.617,,,656.694,,,1366.572,,,2121.299,,,4007.374,,,4.776,,,28.208,,,84.42,,,182.522,,,401.504,,,872.093,,,1359.66,,,2612.313,,,2.173,,,15.211,,,46.381,,,105.008,,,241.268,,,541.017,,,856.703,,,1723.547,,,1.021,,,8.79,,,26.935,,,63.126,,,146.962,,,336.785,,,549.981,,,1186.773,,,0.501,,,5.386,,,16.513,,,39.856,,,92.091,,,214.246,,,365.069,,,854.695,,,0.25,,,3.475,,,10.625,,,26.292,,,59.598,,,140.197,,,250.961,,,639.552,,,0.07,,,1.616,,,4.918,,,12.74,,,27.313,,,65.309,,,129.968,,,390.931
